Id,Description,Correct Frame,,,Gifs Completed,,,Frequency
1,woman falls down,19,,,1,1,TRUE,2
2,woman falls down,9,,,2,2,TRUE,1
3,guy falls down onto couch,28,,,3,3,TRUE,2
4,person falls down,14,,,4,4,TRUE,1
5,guy falls down,10,,,5,5,TRUE,1
6,guy falls onto ground,29,,,6,6,TRUE,1
7,a small kid falls down,22,,,7,7,TRUE,2
8,a dog catching a frisbee in mouth,67,,,8,8,TRUE,4
8,a dog catch frisbee in mouth,67,,,9,9,TRUE,4
8,a dog with frisbee in mouth,67,,,10,10,TRUE,4
8,a dog catching a frisbee in its mouth,67,,,11,11,TRUE,4
11,guy throws tennis racket,35,,,12,12,TRUE,4
11,guy throws tennis racquet,35,,,13,13,TRUE,2
11,guy throwing tennis racquet,35,,,14,14,TRUE,3
11,guy throwing tennis racket,35,,,15,15,TRUE,2
12,guy hitting tennis ball with racket,10,,,16,16,TRUE,3
12,guy hits tennis ball with racket,10,,,17,17,TRUE,5
12,tennis racket hits ball,10,,,18,18,TRUE,7
12,guy hits ball with tennis racket,10,,,19,19,TRUE,4
13,guy falls down,10,,,20,20,TRUE,3
14,tennis ball hits racket,20,,,21,21,TRUE,4
14,tennis ball hits guy's racket,20,,,22,22,TRUE,5
14,tennis ball hitting guy's racket,20,,,23,23,TRUE,2
15,tennis ball hitting face,4,,,24,24,TRUE,4
13,man fall onto ground,11,,,25,25,TRUE,2
15,tennis ball hits face,4,,,26,26,TRUE,2
16,tennis ball hits racket,13,,,27,27,TRUE,2
7,small kid falls down,22,,,28,28,TRUE,2
1,a woman falls down,19,,,29,29,TRUE,2
16,tennis ball hitting racket,13,,,30,30,TRUE,2
16,tennis ball bounces off racket,13,,,31,31,TRUE,1
3,guy face-plants into couch,28,,,32,32,TRUE,1
17,guy hitting tennis ball with racket,38,,,33,33,TRUE,1
17,guy hits tennis ball with racket,38,,,34,34,TRUE,2
17,guy hits tennis ball with racket,38,,,35,35,TRUE,1
17,guy hits tennis ball with racquet,38,,,36,36,TRUE,4
17,tennis racket hits ball,38,,,37,37,TRUE,2
18,a dog catching a frisbee in air,13,,,38,38,TRUE,2
18,a dog catching a carrot in air,13,,,39,39,TRUE,4
18,a dog catching frisbee in air,13,,,40,40,TRUE,1
18,dog catching frisbee in air,13,,,41,41,TRUE,2
18,dog catching a carrot in air,13,,,42,42,TRUE,4
18,dog catching a carrot midair,13,,,43,43,TRUE,2
18,a dog catching frisbee midair,13,,,44,44,TRUE,2
19,tennis racket hitting ball,46,,,45,45,TRUE,4
19,guy hits tennis ball with racket,46,,,46,46,TRUE,2
19,tennis ball gets hit by racket,46,,,47,47,TRUE,2
19,tennis ball impacts with racket,46,,,48,48,TRUE,2
20,dog with frisbeee in mouth midair,1,,,49,49,TRUE,3
20,dog catching frisbee midair,2,,,50,50,TRUE,1
20,a dog catching a frisbee in midair,2,,,51,51,TRUE,3
21,fish eating fish,8,,,52,52,TRUE,2
21,a fish eating another fish,8,,,53,53,TRUE,4
21,fish gets eaten by another fish,8,,,54,54,TRUE,2
21,fish eats another fish,8,,,55,55,TRUE,7
22,baseball bat hitting ball,40,,,56,56,TRUE,2
22,baseball hits baseball bat,40,,,57,57,TRUE,3
22,baseball hits stick,40,,,58,58,TRUE,4
22,baseball impacts bat,40,,,59,59,TRUE,2
22,baseball hitting baseball bat,40,,,60,60,TRUE,2
25,a squirrel shaking its ears,28,,,61,61,TRUE,2
